ko,en
이 제품 정상 제품이 맞나요?,Is this a normal product?
존은 어디에 있는지 아세요?,Do you know where John is?
언젠가 한 번은 꼭 가보시는 걸 추천해 드립니다.,I recommend you to go there once in your life.
예상되는 날짜를 알려주시면 감사합니다.,We would appreciate it if you could tell us the expected date.
내 강아지는 친구 집에 있습니다.,My dog is at my friend's house.
이 화폐는 한국 화폐와 비교할 수 없습니다.,This currency cannot be compared to Korean currency.
이 문제들이 해결되어야 우리는 추가 금액을 줄 수 있어요.,We can give you an additional amount if these problems are solved.
사람이 사람에게 중독되는지 몰랐습니다.,I didn't know that people get addicted.
대부분 사람은 몇 분 후면 사라져요.,People disappear after a few minutes.
여기서 속도를 올리지 마세요.,You shouldn't speed up here.
여기서 헴프를 가려면 무엇을 타고 가야 하나요?,How can I get to Hemf from here?
저는 오전 7시에 집에 도착했어요.,I arrived at home at 7 a.m.
공부를 더 열심히 해야 한다는 건 알아.,You know you have to study harder.
대단히 미안하지만 오늘 회의가 있어서 수업에 늦을것 같아요.,I'm so sorry but I'll be late for class because I have a meeting today.
이것은 소비자들에게 내가 만든 커피라는 인식을 줍니다.,This gives consumers the impression that it is coffee made by me.
너는 맘에 드는 옷을 찾을 때까지 클릭하면 된다.,You can click until you find the clothes you like.
내가 깨어났을 때 네가 있어서 안심됐었어.,"When I woke up, I was relieved because I had you."
이 책을 읽으니 내 생일 파티를 한 것이 생각난다.,This book reminds me of my birthday party.
이 영화는 특별한 능력을 지니고 태어난 주인공을 중심으로 이야기가 전개됩니다.,This movie is based on the main character who has a special ability and is born.
그전까지 저는 한 번도 현대무용을 진지하게 관람한 적도 없고 관심을 가진 적도 없었습니다.,"With that time, I have never watched modern dance seriously and never had any interest in it."
나의 친구들은 베트남 여행 가서 먹었을 겁니다!,Their friends would have eaten it on their trip to Vietnam!
난 스쿨이 언제 올지 친구들에게 물을 수 없어요.,I can't ask my friends when the school will come.
오래돼서 확인이 안 되는 인보이스가 있습니다.,There is an invoice that is old and cannot be checked.
외국은은 무역 활동을 하는 중요한 경제주체의 역할을 담당해요.,Foreigners play an important role in trade activities.
우리의 제품은 언제 발송되나요?,When will our product be shipped?
"만약 멤버 사가 아래와 같은 커스터마이제이션에 대한 비용을 모두 부담할 때, 당신은 이 공사를 승인해 줄 수 있나요?",Can you approve this construction if the member company pays all the costs for the customization as below?
그녀는 매우 세련되었어요.,She is very stylish.
우리 아빠가 항상 뭐라고 하셨는지 알아?,Do you know what my dad always said?
당신이 얘기해 준 것과 같이 봄에 청소하는 게 좋을 것 같아요.,"Like you told me, I think it would be good to clean in spring."
나는 나를 사랑한다고 표현해주는 남자를 좋아해요.,I like men who express how much they love me.
내가 속해 있는 프로그램은 참 좋아요.,The program that I belong to is very good.
너랑 스카이프 하고 싶으면 어떻게 해?,How do I do if I want to do Skype with you?
우리가 제시할 수 있는 최고의 할인된 가격을 정산해보기 위해서니 그쪽의 요구 수량을 알려주시길 바랍니다.,"This is to estimate the best discounted price we can offer, so please let us know the required quantity."
"그래요, 하지만 그렇게 아프진 않아요.","Yes, but I'm not sick like that."
나 그 식당에서 먹고 싶은 음식이 있어.,I have something I want to eat at the restaurant.
나는 그 친구가 음주운전을 하게 둘 수 없어서 차에서 그 친구를 조금 재웠습니다.,"Because I couldn't let him drive, I threw him in the car a little."
그리고 기자로서 진급한다면 작가님에 대해 심층 보도를 해보고 싶습니다.,"And if I get to be a reporter, I would like to cover the work of the writer in detail."
내가 필요한 것들은 전부 챙긴 거였으면 좋곘어.,It would be better if I had taken everything I needed.
신규 승선자들의 중도 하선율을 낮추기 위하여 심사 방법을 보다 철저히 해요.,"To lower the freight departure rate of new passengers, the examination method should be more thorough."
당신의 메일에 너무 늦게 회신을 하여 미안합니다.,I am sorry for replying to your mail too late.
도쿄의 열차 시스템은 알기가 어려워 보입니다.,The train system in Tokyo seems hard to understand.
가죽 신발은 물에 젖으면 좋지 않아요.,The leather shoes are not good when wet.
브랜슨을 위한 박수를 부탁합니다.,Please cheer me up for Brandon.
그는 왜 우산을 갖고 나가지 않을까요?,Why would he bring an umbrella?
상무님이 언급하신 바와 같이 제가 오늘부터 상품부서에서 일하게 되었습니다.,"As the supervisor mentioned, I'm going to work in the product department from today."
당신은 그가 어제 어디에 갔다고 생각합니까?,What do you think he went to yesterday?
세상에 쉬운 게 하나도 없습니다.,There's nothing easy in the world.
모바일 서비스 업체와 계약을 맺으면 더 저렴한 가격으로 구매할 수 있습니다.,You can buy it at a cheaper price if you sign a contract with a mobile service company.
나는 같이 채팅을 할 친구를 찾고 있습니다.,I'm looking for a friend to chat with.
우리 집에 맛있는 것이 있어요.,There is something delicious in my house.
나 대신에 주문해줄 수 있어?,Can you order it for me?
저는 주예칭을 마시겠습니다.,I'll have a cup of tea.
나는 내 손을 그렇게 자주 씻지 않는다.,I don't wash my hands that often.
서울 행 비행기가 6시에 오나요?,Does the flight to Seoul come at 6 o'clock?
음료수를 무료로 리필해줍니까?,Do you refill your drinks for free?
그곳은 어떤 음식들이 나오죠?,What kind of food comes out there?
나는 지난 토요일에 서울에 다녀왔어.,I went to Seoul last Saturday.
우리는 핸드폰이 없었을 때도 잘 공부했습니다.,We studied well even when we didn't have a cell phone.
영어가 중요한 지금 어떻게 공부해야 할지 알아보자.,"This is the time when English is important, so let's find out how to study English."
"사실 난 영어를 잘 못해서 친구들의 도움을 많이 받았어, 너에게 메일을 보내기 위해서 말이지.","This is because I am not good at English, and I got help from my friends to send you an email."
"우리는 이미 동물 축사의 냄새 감지, 캠핑장의 텐트 관리 등을 위한 여러 센서를 제작한 경험이 있습니다.","We have already made sensors for animal feeder smell detecting, camping tent management, etc."
이 도장은 관광지 기념도장입니다.,This stamp is a souvenir stamp of the tourist spot.
생산팀에 확인 후 알려주시기 바랍니다.,Please let me know after checking with the production team.
우리는 따뜻한 크리스마스를 보냈어요.,We spent a warm Christmas.
온천에 가서 편히 쉬다 와요.,You can take a rest in the hot spring.
올해는 내 아이와 꼭 같이 재미있는 시간을 보내고 싶어서 가게는 아르바이트생에게 맡기고 함께 시간을 보냈어.,"This year, I wanted to spend a fun time with my child so I left the store to a part-time student and spent time together."
나는 지니톡을 기초로 하여 문장을 만들었다.,I made a sentence based on Genitalk.
그는 뭘 배우면 빨리 이해해요.,"When he learns something, he quickly understands it."
우리의 삶과 뗄 수 없는 공간이기에 흥미롭습니다.,It's interesting because it's a place that can't be separated from our lives.
나는 사람들과 어울리는 것을 좋아하기 때문이에요.,Because I like to hang out with people.
그는 자기 말대로 대체 가능한 존재가 됐더라.,He became a substitutable being as he said.
당신은 사회봉사 정신이 강한 사람입니다.,You have a strong spirit of social service.
우리는 중립을 잘 유지해야 해요.,We have to maintain the neutrality.
아무튼 P 센서 재고 수량은 단종되기 전에 다시 한번 당신에게 통지해주도록 할게요.,"Anyway, I will inform you once again about the P sensor stock quantity before discontinuation."
"나 어제 이발했는데, 네가 보기엔 어떤 것 같아?","I sprained my hair yesterday, what do you think?"
"재시작 후에도 광고가 뜨는 경우, 다시 한번 문의 부탁드리며 환불을 원하시는 경우 처리해 드리겠습니다.","If the advertisement still pops up after restarting, please ask again and we will take care of it if you want a refund."
나는 다시 학생이 됐습니다.,I am a student again.
국내 최대 크루즈형 유람선이 바로 이곳 아라뱃길에 있습니다.,The largest cruise ship in the country is located on the Arabian harbor.
너는 이만 가는 편이 좋겠어.,You'd better go.
부산 사투리는 발음과 억양이 높습니다.,The busan dialect has a strong pronunciation and accent.
"네, 우리 박물관엔 동물모형도 많습니다.","Yes, there are many animal models in our museum."
나는 오늘 여드름 때문에 피부과에 갑니다.,I'm going to the dermatology today because of pimples.
사생팬이 활동비 마련을 위해 사기와 횡령까지 저질렀습니다.,The naughty boy committed theft and bribery for the expense of his activities.
세상에 누가 대머리를 좋아하겠어?,How many people in the world would like bald hair?
그 사람은 태어날 때부터 선천적 장애를 갖고 있었어요.,The person had an acquired disability since he was born.
우리는 기념일을 안 챙깁니다.,We don't celebrate anniversaries.
비엘 수정 요청하였으니 곧 수정된 비 일을 받으실 수 있습니다.,You can get the revised invoice soon as I asked you to modify it.
"저는 육상 경기, 필드 경기, 특히 100미터 경주 보는 것을 좋아해요.","I like watching sports, field games, and especially 100 meter races."
안녕하세요! 만나게 돼서 정말 반갑습니다.,"Hello, I'm so glad to meet you."
이 버스는 평균적으로 7시 31분에 도착합니다.,This bus arrives at about 7 pm.
나는 술 많이 취하면 머리가 아파.,I have a headache when I get drunk.
날 만났을 때 즐겁게 해줘.,Feel good when you meet me.
11월 14일까지 샘플을 만들어 보내세요.,Please make a sample and send it to me by November 14th.
오늘은 꼭 좋은 시간 보내요.,I hope you have a good time today.
이메일을 입력해 주시면 비밀번호를 초기화할 수 있는 링크를 메일 주소로 보내 드려요.,"With your email, I will send you a link to reset your password."
Envoy 회사 방문에는 흥미로운 점이 많았습니다.,The visit to the Envoy company was interesting.
4/27일 오전 10:00에 서류 도착 예정입니다.,The document will arrive at 10:00 AM on April 27th.
이것은 디즈니의 5월 기대작입니다.,This is Disney's 5th anticipated movie.
번개는 눈이 크고 반짝반짝해요.,The thunder is big and sparkling.
그는 베네통 가방을 들고 다녀요?,Does he carry a vanity bag?
오션월드에는 여름이라 사람들이 많았어.,There were a lot of people because it was summer at Ocean World.
강아지의 품종은 비숑 프리제입니다.,The breed of the dog is Bichon Frise.
나는 친구와 약속이 있어서 시간 변경을 했습니다.,I changed the time because I had an appointment with a friend.
나보다 더 작은 얼굴 가진 사람이 많아.,There are many people who have a smaller face than me.
여행은 내 취미인데 내가 스트레스를 받거나 기분전환이 필요할때 가고는 해요.,The trip is my hobby and I go there when I am stressed or need a change of mood.
내 이름은 주민정입니다.,My name is Namjeong.
"네, 그런데 아파트 주변 500ｍ 이내에는 지붕이 있는 주차장은 아마 없을 거예요.","Yes, but there will probably be no parking lot with a roof within 500m of the apartment."
이들은 자신이 무엇을 원하는지 또 뭘 하고 싶은지 아니면 어디가 아픈지도 말하지도 못하고 그저 누워만 있습니다.,They are just lying down and not telling what they want to do or where they are sick.
우리가 세제와 소독약을 사서 직접 할게.,We will buy a detergent and a toothpaste and do it ourselves.
내 핸드폰 배터리가 다 돼 가.,The battery of my cellphone is dead.
"저는 미국지사 주재원 파견을 가기 위해 E-2비자를 신청했고, 모든 자격요건을 충족해서 비자를 발급받을 수 있었습니다.","With the E-2 visa, I was able to get a visa because I fulfilled all the qualifications."
그래서 공부는 자신과의 힘든 싸움이에요.,That's why studying is a hard fight with yourself.
오늘은 퇴원했으면 좋겠습니다.,I hope you get out of the hospital today.
저는 오후 2시에는 다른 일이 있어요.,I have something else to do at 2 p.m.
당면을 김으로 싼 뒤 빵가루를 입혀 튀긴 디저트입니다.,This is a dish that is stuffed with flour after seasoning with salt and flour.
무엇보다 가장 기억에 남는 것은 다양한 먹거리를 먹어본 것이었어요.,The most memorable thing is that I had a lot of different foods.
그것은 나의 집중력을 높이는 데 도움을 줍니다.,It helps me to increase my concentration.
그러니 당신은 인내심을 가지고 우리를 지켜봐 주십시오.,That's why you have to be patient and watch us.
오늘은 컴퓨터 게임도 하고 핸드폰도 했어요.,I played computer games and also used my cellphone today.
이것은 일상생활에 큰 피해를 줄 수 있습니다.,This can be a big disadvantage in everyday life.
이런 질문들을 대수롭지 않게 생각하는 사람들도 있지만 어떤 경우에는 정말 기분 나빠하는 사람도 있습니다.,"They may think these questions are uncomfortable, but some people feel really bad about it."
우리의 안전은 항상 중요합니다.,The safety of ours is always important.
생산팀과 확인해보았으나 3월22일에 출고하는 것은 매우 어렵습니다.,We checked with the production team and it is very difficult to release it on March 22nd.
여기는 종일 눈이 내려 세상이 온통 하얗습니다.,"It snows all day long here, and the whole world is white."
우리는 시리즈 품목이 이른 시간 안에 필요합니다.,We need the series item in a short time.
이러한 절차를 위해 아래의 정보가 필요합니다.,We need the information below for this procedure.
"안녕하세요, 내 이름은 조다니입니다.","Hello, my name is Jonie."
내가 제안하는 첫 번째 해결책은 제한된 시간 동안 스마트폰 사용을 방해하는 앱을 설치하는 것입니다.,The first solution I suggest is to install an app that blocks the use of the smartphone for a limited time.
우리는 각 분야에서 유명한 사람의 초청 강의를 듣습니다.,We take lectures by famous people in each field.
우리의 학생은 더 중요합니다.,Our students are more important.
나도 예전부터 터키는 가고 싶은 나라였기 때문에 희망하고 있다.,"Because I wanted to go to Turkey from a long time ago, I hope to go there."
그곳에 참치 요리 있습니까?,Is there tuna dish?
스티브 잡스는 합병 결과에 의해 디즈니의 최대 개인 주주가 되었습니다.,"With the result of the merger, Steve Jobs became the biggest private investor of Disney."
몇 명이서 놀러 오신 건가요?,How many people came to play?
이곳을 20대의 선거와 관련된 소통의 장으로 활용합니다.,It is used as a communication room about the election of 20s.
이 버스를 타면 그 곳까지 가는 겁니까?,Are you going to get there by this bus?
그 방법이 우리에겐 가장 편한 결제방식입니다.,This is the easiest payment method for us.
나는 훌륭한 건축가가 될 거예요.,I will be a great architect.
저는 내년 여름에 다시 여행 예정입니다.,I am planning to travel again next summer.
우리 아빠는 음악을 정말 사랑하세요.,My dad really loves music.
이 두 언어를 언어학적으로 비교한 것입니다.,This is a linguistic comparison of these two languages.
우리는 남들이 뭐라 하든 신경 안 쓰는 사랑을 해요.,We love without care no matter what others say.
급한 일이 생겨서 저는 5분 후에 가야 합니다.,"I have an urgent matter, so I have to go after 5 minutes."
우리 그러면 특별한 추억을 만들어 보자.,Then let's make a special memory.
우리 캠프파이어를 합시다.,Let's do campfire.
그녀 역시 즐겁게 지냈으면 좋겠네.,I hope she had a good time too.
우리 운송업체에 당신한테 연락하라고 하겠습니다.,I'll call our forwarding company to you.
웬만한 시내에는 다 한 군데씩 있어요.,There are a few in every town.
나는 1월에 호치민에 갈 예정입니다.,I am planning to go to Ho Chi Minh in January.
저는 운치 있던 밀라노의 가을이 기억나네요.,I remember the autumn in Milan which was full of beauty.
"관계를 맺는 것 이전에 의미 없음이 포함된 보통의 사물은 그저 무의미한 ""하나의 몸짓""일 뿐입니다.",Things that are meaningless before entering a relationship are just meaningless things.
그 후에 경찰관한테서 전화가 왔었어요.,"After that, I got a call from a police officer."
부드러운 밀크 크레이프는 대표 메뉴예요.,The soft milk cramp is the representative menu.
우리가 만난 지 며칠 째인지 아세요?,Do you know how long it has been since we met?
가을에는 그리운 친구들에게 편지하고 싶어요.,I want to write a letter to my friends I miss in autumn.
우리는 새로운 표현을 배울 거에요.,We will learn new expressions.
그는 아버지의 죽음을 지켜봅니다.,He watches his father's death.
우리 집은 인천시에 있습니다.,Our house is in Incheon.
너에게 데이트 신청하는 남자는 없니?,Are there any men who want to date you?
유행의 흐름을 따라야 해요.,You should follow the tide of fashion.
이 동전은 제조 원가와 비교해 가치가 낮아.,The value of this coin is low compared to the manufacturing cost.
미국구매자들을 위해 혁신적인 배송서비스를 선택하였습니다.,We chose an innovative delivery service for American buyers.
"요즘 나의 음악 플레이리스트에는 크리스마스 캐롤로 가득차있어, 왜냐하면 나는 겨울에 캐롤을 듣는것을 좋아하기 때문이야.","Recently, my playlist is full of Christmas carols, because I like to listen to them in winter."
내 이야기를 잘 들어줘서 정말 고마워.,Thank you so much for listening to my story.
이것이 그들이 만나게 된 결정적인 계기였어.,This was the decisive moment that they met.
오른쪽 벙커 옆의 작은 소나무입니다.,This is a small pine tree next to the bunker on the right.
"당신의 친절에 감사합니다, 이번 봉사 팀은 단체입니다.","Thank you for your kindness, this volunteer team is a group."
그리고 다음 주 월요일 정도에 게스트하우스 청소가 가능한데 원한다면 말해 주기 바라요.,"Also, I can clean the guest house by next Monday, so if you want, please let me know."
나는 지금 계란 후라이가 먹고 싶어.,I want to eat fried eggs now.
당신과 내가 처음 만난 장소는 샵이에요.,The place where I first met you is a shop.
왕자가 바지를 벗기 시작했어요.,The prince started to take off his pants.
이 PC의 품질 보증 기간은 얼마입니까?,How long is the warranty period of this PC?
가족들과 즐거운 추석의 풍요로운 시간을 가지세요.,"With your family, have a joyful Chuseok."
그들은 스푼을 사용하지 않고 오른손을 사용합니다.,They use their right hand without using a spoon.
사랑하기때문에 더욱 믿어야 된다고 생각합니다.,I think we should believe more because we love each other.
남편은 아직 아기를 원하지 않아.,The husband doesn't want a baby yet.
저는 성형과 관련된 일을 합니다.,I do work related to plastic surgery.
당신은 다른 사람들의 기분을 고려해야 합니다.,You should consider other people's feelings.
사람들은 자신이 죽지 않을 것처럼 살아갑니다.,People live as if they are not dying.
당신만 괜찮으면 나의 아내한테 당신을 소개할게.,"If you are okay, I will introduce you to my wife."
그 규칙중 하나는 서로 가까이 붙어있는 것이죠.,The rules are that they are close together.
"대표적인 것으로는 봉산 탈춤, 산대놀이 탈춤 등이 있다.",The most representative examples are Kang-san dance and the fire dance.
그럼 나도 당신이 생각했던 것처럼 나도 당신을 나쁜 사람으로 취급할 수밖에 없습니다.,"Like you thought, I have no choice but to treat you as a bad person."
아직까지는 그럭저럭 괜찮아요.,It's fine for now.
그거 때문에 돈이 많이 들었겠어요.,It must have cost a lot because of it.
그 영화는 우리에게 생각할 거리를 많이 줍니다.,The movie gives us a lot to think about.
그래서 나는 디자인 고등학교에 다니고 있어.,So I'm attending a design high school.
브로드웨이를 타고 89번 가로 가서 Forest Avenue에 도착할 때까지 서쪽으로 가십시오.,"With the traffic lights on, turn left and go west until you arrive at Forest Avenue."
이 사이트의 경우 대부분이 무료 이미지 호스팅을 이용해요.,This site uses free image hosting service.
나는 담배 연기를 많이 맡은 날에 머리가 아프다.,I have a headache when I smell cigarette smoke.
이번 주는 제품을 선적할 수 있는 배가 없습니다.,"This week, there is no ship to ship the product."
또한 노란색 버튼을 누르면 모든 답을 한 번에 암기 할 수 있어 수업에서 1위를 차지할 수 있습니다.,"With the yellow button, you can memorize all the answers at once, so you can be the first in class."
그때부터 요리사가 제 꿈이었습니다.,"From then on, it was my dream to be a cook."
"우선, 우리가 가까워지는 것이 중요해요.","First, it is important for us to be close."
결혼할 여자를 만나는 것이 쉬운 게 아니야.,It's not easy to meet a woman to marry.
나를 위해 기도해주시는 부모님이 계셔서 든든합니다.,It's comforting that there are parents who pray for me.
동물에게 가장 중요한 본능은 종족 번식입니다.,The most important trait of animals is reproduction.
10월 초에 무역사절단으로 러시아를 방문하여 수출 협상을 했었습니다.,They visited Russia in early October as a trade team and had a trade negotiation.
다른 화물들도 선적이 가능하도록 노력하겠습니다.,We will try to make the shipment of other cargo possible.
오늘 저는 한국 지사로 첫 출근을 했습니다.,"Today, I got my first day of work at the Korean branch."
그것은 무작정 들은 수업내용보다 직접 실험했던 게 더 기억에 남는 것과 같아요.,It reminds me that I was more memorized for the experiments I did in the class than the uncontrolled lectures.
"우린 9월 16일까지 사이즈 2 13,000개를 납품해야하는 중요한 계약을 받았습니다.","We got an important contract that we have to deliver 13,000 pieces of size 2 by September 16th."
7월 25일 하루를 온전히 당신을 위해 비워두는 것은 마땅한 일입니다.,It is proper to leave the day of July 25th for you.
나는 최근에 아저씨 라는 영화를 보았어.,I recently watched a movie called A Nightmare.
데이터 용량이 커서 그럴 수 있습니다.,It might be because the capacity of the data is too big.
나뭇잎 모양으로 디자인된 피어싱입니다.,This is a pissing designed in the shape of leaves.
그들은 자신들의 현재 일자리를 잃을까봐 걱정이에요.,They are worried about losing their current job.
당신의 가방을 저쪽에 내려놓아 주세요.,Please put your bag over there.
부농의 토지를 몰수하고 농업 집단화를 통해 전체 농촌 지역을 국가의 통제 밑으로 귀속시켰습니다.,"With the expropriation of the farmers' land and the aggregation of farmers, the whole rural area was left under the control of the state."
고등학생이 되어서 꿈을 찾기 위해 많은 것을 배웠습니다.,"After becoming a high school student, I learned a lot to find my dream."
이 축제를 위해서 우리는 방학 때부터 연습을 했어요.,"For this festival, we practiced since the vacation."
저는 딸기로 만든 모든 음식을 좋아합니다.,I like all the food made with strawberries.
난 소가족으로 살아가는 것이 더 좋다고 생각해요.,I think it's better to live in a small family.
위에 글을 확인하지 못했어요.,I couldn't check the text above.
"또한, 나의 경험을 바탕으로 코리아테크에 교환학생으로 온 학생들이 잘 적응할 수 있도록 도울 것이에요.","With my experience, I will help Korean Tech students to adapt well to Korea Tech."
"그러니 저에게 필요한 수량과 주소, 전화번호를 보내세요.",So please send me the quantity and address and phone number that I need.
그가 바로 와서 지켜 주기 때문이에요.,It's because he comes right away and protects it.
우리 언제 유니버설 스튜디오에 가요?,When do we go to Universal Studio?
이번 2015년에는 새롭고 더 노력할 수 있는 자신이 되도록 노력하겠습니다.,"This year, I will try to be a new and try harder person."
내가 애들을 본 것은 바로 여기서였어.,It was right here that I saw the kids.
내가 뭐라고 검색해야 하지?,What should I search for?
"송어회, 매운탕, 매콤 감자수제비 등을 맛볼 수 있다.","You can taste salmon sashimi, spicy soup, and sweet potato salad."
부족한 부분에 대한 깊은 반성과 책임을 느낍니다.,We feel deep sympathy and responsibility for the shortcomings.
그의 대표적인 캐릭터인 '바라바빠'는 행복의 아이콘입니다.,The representative character 'Barbara' is a symbol of happiness.
당신의 사진을 능가하는 공포는 없습니다.,There is no fear that compares with your picture.
너는 호주랑 캐나다랑 뭐가 다른거 같아?,What do you think is different between Australia and Canada?
너 어제 술 많이 마신 거야?,Did you drink a lot yesterday?
나는 문제 해결을 위해 바이어와 긍정적으로 얘기하고 있습니다.,I'm talking positively with the buyer to solve the problem.
일상 속 업무 미팅을 깜작 소개팅으로 바꾸어 직장인들에게 특별한 만남의 기회를 선물합니다.,They give a special opportunity to the workers by changing the everyday business meeting to a surprise introduction.
"마지막으로 창피한 얘기지만, 제가 4학년이지만 영어를 잘하진 못 합니다.","The last thing is that I am a 4th grade student, but I am not good at English."
이번 달 안에 차를 선적하거나 혹은 차를 받을 수는 없습니까?,You can't ship or can you get the car within this month?
"있잖아, 나는 여기에서 계속 일할 거야.","You know, I'm going to keep working here."
오늘 오랜만에 엄마랑 단둘이 데이트를 했습니다.,It's been a while since I dated my mom.
그래서 당신에게 이미 본 특허에 대한 우선권 서류를 보내드렸습니다.,That's why I sent you the document of priority rights for the already existing patent.
그 자동차는 무슨 색인지 확인해봤어요?,Have you checked what color the car is?
우선은 사회부 혹은 정치부 기자가 되어 작가님과 인터뷰하는 것을 목표로 하고 있습니다.,"Firstly, I'm trying to become a social or political reporter and interview a writer."
보내준 헬멧은 마무리가 너무 허접합니다.,The helmet you sent is too rough.
나보다 번역을 더 잘하는 사람을 추천해요.,I recommend someone who is better at translating than me.
"네, 그들은 제 첫 번째 직장 친구들이에요.","Yes, they are my first job friends."
우리가 결혼하기에는 서로에 대해 아는 게 너무 없어.,We don't know much about each other when we get married.
이번 주말에 바닷가에서 수영하지 않을래?,Why don't you go swimming at the beach this weekend?
간접냉각방식의 사용은 고내 온도 분포를 일정하게 합니다.,The use of the direct cooling method keeps the temperature distribution in the atmosphere steady.
저는 수영뿐만 아니라 다른 운동에도 흥미를 붙여서 잘하고 싶어요.,I want to be good at swimming as well as other sports.
또한 당신이 100을 주문할 때 진공 플래시 1L에 대한 견적을 보내 주십시오.,You can also send us the estimate for 1L of magnetic flash when you order 100.
내가 싫어하는 음식은 피자입니다.,The food I hate is pizza.
대개 석빙고의 외형은 무덤처럼 보이나 내부는 돌로 만들어집니다.,"The exterior of the castle looks like a grave, but the inside is made of stones."
그렇게 피곤해하는 것을 보니 서울에 오는 것도 미안해지네.,"With you being so tired, I feel sorry for coming to Seoul."
무엇이든 섬유로 만든다'라는 목표로 설립된 회사입니다.,It is a company founded with the goal'making anything with fibers.
저는 남들에 비해 발의 뼈가 튀어나와 있는데 이게 항상 콤플렉스였습니다.,I always have a compulsory problem because I have a skein on my foot that is bigger than others.
나는 스트레스를 잠을 자거나 단 음식을 먹는 거로 풉니다.,I take stress out by sleeping or eating sweet foods.
이 전자사전은 내가 중학교에 입학할 때 아빠가 사주신 선물이에요.,This electronic dictionary is a gift from my dad when I entered middle school.
예전에는 공휴일이었는데 이제는 아니야.,"It used to be a holiday, but now it's not."
우리는 이번 주 안에 부분 선적을 요청할 것입니다.,We will request partial shipping within this week.
보온 작업자들을 대상으로 품질교육이 필요합니다.,We need quality education for the cooling workers.
"예를 들어, 프랑스 혁명은 평민들의 국민의회같이 의회를 통한 합법적으로 자신들의 의견을 내놓는 방식이었어요.","For example, the French Revolution was a way for ordinary citizens to express their opinions through a democratically elected National Assembly."
난 공유폴더가 안 돼서 못 만들었으니 당신은 저한테 보내셔도 되고 공유폴더에 넣어두셔도 됩니다.,You can send it to me and put it in the shared folder as I couldn't make it.
반죽이 뭉쳐지면 올리브유를 넣습니다.,"When the dough is mixed, put olive oil."
그것을 들었을 때 정말 실망했습니다.,I was really disappointed when I heard it.
우리는 늦잠을 자서 매우 바쁘게 준비를 했어요.,We were so busy preparing because we overslept.
나는 당신의 수업을 들을 수 있어서 행복했고 기뻤습니다.,I was happy and pleased to take your class.
오늘 온종일 비가 왔습니다.,It rained all day today.
국민의 안전을 도모하고 나라를 위하는 일을 할 수 있습니다.,You can help keep the safety of the people and the country.
사람들은 예술작품을 보며 자랐습니다.,People grew up seeing artworks.
우리는 쿠키 만드는 법을 소개할 것입니다.,We will show you how to make cookies.
보험이 되는 약을 지어 주십시오.,Please make a medicine that is insured.
너희는 이 상황을 극복하려는 노력을 하지 않아도 돼.,You don't have to try to overcome this situation.
손목시계는 언제 보내실 거에요?,When are you going to send the watch?
만약 우리 학교가 깨끗해진다면 학생들은 더욱 열심히 공부하게 될 것입니다.,The students will study harder if our school is cleaned up.
위와 같이 휴대폰의 필요성을 느낀 적이 많기 때문에 교내에서 휴대폰을 사용하는 것을 찬성해요.,"Like above, I have felt the need for a cell phone, so I agree to use a cellphone in school."
겸사겸사 제 여행 사진을 올려봅니다.,I'm going to post my travel pictures.
그래서 우리가 몇 가지 대안을 준비해봤어.,So we prepared some alternatives.
그는 하는 일이 여의치 않아 내리막길을 걷고 있죠.,They're walking down the aisle because he's doing something he shouldn't do.
이 곡을 녹음하고 싶은데요.,I want to record this song.
"잘 터지는 와이파이, 가까운화장실, 깨끗한 샤워실이 준비되어 있어요.","They have a good-quality Wi-Fi, a nearby room, and a clean shower room."
자른 아크릴을 이용해 작품의 틀을 제작하는 과정을 찍은 사진입니다.,This is a picture of the process of making the frame of the work using the cured acrylic.
야외 매표소에서 입장권 끊고 입장 해주서야 되세요.,You have to withdraw your ticket at the outdoor ticket booth.
나중에 내가 약을 먹지 않는 날이 온다면 그때 꼭 헌혈해보고 싶다.,"If the day comes when I don't take medicine, I want to do a blood donation."
나는 내일 영어 숙제가 어로지 않을 것이에요.,I won't be able to do English homework tomorrow.
"그럼, 네 짐은 부모님 집에 있는 거야?","Then, are your luggage at your parents' house?"
그녀가 한밤중에 기계 이상으로 나에게 전화를 했어요.,She called me in the middle of the night because of a problem with the machine.
이 근처에 극장이 있습니까?,Is there a theater near here?
"아니요, 이건 칵테일 같아요.","It's like a cocktail, isn't it?"
왼쪽 사진은 운동회 때 찍은 사진이고 오른쪽 사진은 학교 끝나고 찍은 사진입니다.,The picture on the left is a picture taken at a sports event and the picture onto the right is the picture taken after school.
"예, 그것이 제가 그 말 하는거예요.","Yes, that's what I'm saying."
사람들은 제사를 위해 음식들을 사고 있어요.,People buy foods for the funeral.
"이것은, 돌아가신 분을 존경하고, 또 귀신이 되돌아오는 것을 막는 의미가 있습니다.",This has the meaning of respecting the deceased and preventing him from returning.
"보다시피, 나는 당신을 믿고 환불했어요.","As you see, I trusted you and refunded you."
이것은 많은 학구에서 큰 논쟁거리가 되고 있어요.,This is a big issue in many debates.
나는 미래에 대한 희망과 기대가 생겼어.,I got hope and expectation for the future.
나에게는 정신 차리라고 뺨을 때려줄 친구가 필요해요.,You need a friend who can give you a slap on the cheek to get you out of your head.
